request_time,write,response_time
1772832482494,true,1772832482504
1772832482545,false,1772832482554
1772832482595,true,1772832482606
1772832482644,true,1772832482666
1772832482694,true,1772832482705
1772832482745,false,1772832482754
1772832482795,false,1772832482804
1772832482845,true,1772832482855
1772832482895,false,1772832482904
1772832482944,true,1772832482954
1772832482995,true,1772832483004
1772832483045,true,1772832483055
1772832483095,false,1772832483106
1772832483145,true,1772832483154
1772832483195,true,1772832483204
1772832483245,true,1772832483254
1772832483295,false,1772832483305
1772832483345,false,1772832483355
1772832483394,true,1772832483404
1772832483445,true,1772832483454
1772832483495,true,1772832483505
1772832483545,true,1772832483554
1772832483595,true,1772832483604
1772832483644,false,1772832483654
1772832483694,false,1772832483703
1772832483745,true,1772832483754
1772832483795,true,1772832483804
1772832483845,true,1772832483854
1772832483894,false,1772832483904
1772832483945,false,1772832483953
1772832483994,false,1772832484003
1772832484044,false,1772832484054
1772832484094,true,1772832484103
1772832484144,true,1772832484153
1772832484195,true,1772832484204
1772832484245,false,1772832484254
1772832484294,false,1772832484304
1772832484344,false,1772832484354
1772832484394,true,1772832484404
1772832484445,true,1772832484454
1772832484495,true,1772832484504
1772832484544,true,1772832484554
1772832484595,false,1772832484605
1772832484645,false,1772832484654
1772832484695,true,1772832484704
1772832484745,false,1772832484754
1772832484795,true,1772832484804
1772832484844,true,1772832484854
1772832484895,false,1772832484904
1772832484945,true,1772832484954
1772832484994,true,1772832485004
1772832485044,false,1772832485054
1772832485095,true,1772832485104
1772832485145,true,1772832485155
1772832485195,true,1772832485205
1772832485244,true,1772832485255
1772832485294,true,1772832485303
1772832485345,false,1772832485354
1772832485395,false,1772832485404
1772832485465,false,1772832485474
1772832485494,true,1772832485504
1772832485545,false,1772832485554
1772832485595,false,1772832485604
1772832485645,false,1772832485654
1772832485694,true,1772832485704
1772832485745,false,1772832485753
1772832485795,false,1772832485804
1772832485844,false,1772832485854
1772832485895,true,1772832485904
1772832485944,true,1772832485954
1772832485995,true,1772832486004
1772832486044,false,1772832486054
1772832486095,true,1772832486104
1772832486144,false,1772832486154
1772832486195,false,1772832486206
1772832486244,true,1772832486256
1772832486295,false,1772832486306
1772832486345,true,1772832486355
1772832486395,true,1772832486407
1772832486466,false,1772832486473
