request_time,write,response_time
1772832444218,true,1772832444229
1772832444267,false,1772832444278
1772832444318,true,1772832444328
1772832444368,true,1772832444378
1772832444418,true,1772832444429
1772832444467,false,1772832444478
1772832444519,false,1772832444529
1772832444568,true,1772832444578
1772832444618,true,1772832444628
1772832444668,true,1772832444679
1772832444718,false,1772832444728
1772832444768,false,1772832444778
1772832444818,true,1772832444828
1772832444867,false,1772832444879
1772832444918,true,1772832444927
1772832444967,false,1772832444979
1772832445018,true,1772832445028
1772832445068,true,1772832445078
1772832445118,true,1772832445128
1772832445168,false,1772832445180
1772832445219,false,1772832445228
1772832445268,false,1772832445277
1772832445317,false,1772832445327
1772832445368,true,1772832445379
1772832445418,true,1772832445428
1772832445468,false,1772832445481
1772832445517,true,1772832445529
1772832445567,true,1772832445579
1772832445618,true,1772832445628
1772832445668,false,1772832445679
1772832445718,true,1772832445728
1772832445769,false,1772832445778
1772832445817,true,1772832445828
1772832445868,true,1772832445878
1772832445918,true,1772832445929
1772832445968,false,1772832445979
1772832446018,true,1772832446028
1772832446067,true,1772832446077
1772832446118,true,1772832446127
1772832446168,false,1772832446178
1772832446218,false,1772832446229
1772832446268,true,1772832446279
1772832446318,false,1772832446328
1772832446368,true,1772832446379
1772832446419,true,1772832446429
1772832446468,false,1772832446478
1772832446518,true,1772832446527
1772832446569,false,1772832446578
1772832446618,true,1772832446629
1772832446667,true,1772832446678
1772832446718,false,1772832446728
1772832446768,false,1772832446778
1772832446817,true,1772832446827
1772832446868,true,1772832446878
1772832446917,true,1772832446928
1772832446968,false,1772832446978
1772832447018,true,1772832447028
1772832447068,true,1772832447078
1772832447118,true,1772832447128
1772832447168,true,1772832447180
1772832447218,true,1772832447226
1772832447268,true,1772832447277
1772832447318,false,1772832447330
1772832447367,false,1772832447379
1772832447417,false,1772832447429
1772832447468,false,1772832447480
1772832447518,false,1772832447528
1772832447568,true,1772832447579
1772832447618,false,1772832447628
1772832447668,false,1772832447678
1772832447718,true,1772832447729
1772832447769,true,1772832447778
1772832447818,true,1772832447829
1772832447868,true,1772832447879
1772832447918,false,1772832447928
1772832447968,false,1772832447978
1772832448018,true,1772832448028
1772832448068,true,1772832448077
1772832448118,false,1772832448127
1772832448168,true,1772832448181
1772832448218,false,1772832448227
1772832448269,true,1772832448279
1772832448317,false,1772832448328
1772832448368,false,1772832448378
1772832448418,false,1772832448427
1772832448468,false,1772832448480
1772832448518,false,1772832448529
1772832448568,true,1772832448579
1772832448617,true,1772832448627
1772832448668,false,1772832448678
1772832448718,false,1772832448728
1772832448768,true,1772832448777
1772832448818,true,1772832448829
1772832448868,true,1772832448879
1772832448918,true,1772832448928
1772832448968,true,1772832448980
1772832449017,true,1772832449028
1772832449068,true,1772832449079
1772832449117,true,1772832449128
1772832449167,false,1772832449178
1772832449218,true,1772832449227
1772832449268,true,1772832449277
1772832449318,false,1772832449328
1772832449368,true,1772832449379
1772832449418,true,1772832449428
1772832449467,true,1772832449478
1772832449518,true,1772832449528
1772832449568,false,1772832449578
1772832449618,true,1772832449628
1772832449668,false,1772832449678
1772832449718,false,1772832449730
